"Location","Population","% ofworld","Date","Source (official or fromthe United Nations)"
"Djibouti",1066809,1e-04,2024-05-20,"2024 census result[176]"
"Cyprus",983000,1e-04,2024-12-31,"Official estimate[177]"
"Guyana",956044,1e-04,2024-12-31,"Official estimate[178]"
"Comoros",944388,1e-04,2026-01-01,"Official estimate[179]"
"Fiji",902623,1e-04,2026-01-01,"National annual projection[180]"
"Bhutan",784043,1e-04,2025-01-01,"National annual projection[181]"
"Solomon Islands",750325,9e-05,2024-07-01,"National annual projection[182]"
"Macau (China)",688900,8e-05,2025-12-31,"National quarterly estimate[183]"
"Luxembourg",681973,8e-05,2025-01-01,"Official estimate[184]"
"Montenegro",623327,8e-05,2025-01-01,"Official estimate[185]"
"Suriname",616500,7e-05,2021-07-01,"Official estimate[186]"
"Western Sahara (disputed)",600904,7e-05,2025-07-01,"UN projection[116]"
"Malta",574250,7e-05,2024-12-31,"Official estimate[187]"
"Maldives",515132,6e-05,2022-09-13,"2022 census result[188]"
"Cape Verde",491233,6e-05,2021-06-16,"2021 census result[189]"
"Northern Cyprus",476214,6e-05,2023-12-31,"Official projection[190]"
"Brunei",455500,6e-05,2024-07-01,"Official estimate[191]"
"Belize",417634,5e-05,2025-07-01,"Official estimate[192]"
"Bahamas",398165,5e-05,2022-04-04,"2022 census result[193]"
"Iceland",394530,5e-05,2026-01-01,"National quarterly estimate[194]"
"Transnistria",367776,4e-05,2024-03-31,"Official estimate[195]"
"Vanuatu",321409,4e-05,2024-07-01,"National annual projection[196]"
"French Polynesia (France)",279500,3e-05,2024-12-31,"National annual projection[197]"
"Barbados",267800,3e-05,2022-12-31,"Official estimate[198]"
"New Caledonia (France)",264596,3e-05,2025-01-01,"National annual projection[199]"
"Abkhazia",244236,3e-05,2022-01-01,"Official estimate[200]"
"São Tomé and Príncipe",209607,3e-05,2024-01-01,"Preliminary census result[201]"
"Samoa",205557,2e-05,2021-11-06,"2021 Census[202]"
"Saint Lucia",184100,2e-05,2023-07-01,"Official estimate[203]"
"Curaçao (Netherlands)",156115,2e-05,2025-01-01,"Official estimate[204]"
"Guam (US)",153836,2e-05,2020-04-01,"2020 census result[205]"
"Seychelles",122729,1e-05,2025-06-30,"Official estimate[206]"
"Kiribati",120740,1e-05,2021-07-01,"National annual projection[196]"
"Saint Vincent and the Grenadines",110872,1e-05,2022-07-01,"Official estimate[207]"
